,Longitude,Latitude,Value
281,120.66,22.66,20.2
282,120.69,22.66,19.0
283,120.72,22.66,22.7
284,120.75,22.66,17.9
285,120.78,22.66,16.7
286,120.81,22.66,16.7
287,120.84,22.66,17.7
288,120.87,22.66,19.5
289,120.9,22.66,22.5
290,120.93,22.66,23.8
291,120.96,22.66,25.4
292,120.99,22.66,24.0
293,121.02,22.66,27.3
294,121.47,22.66,26.1
295,120.3,22.689999999999998,25.4
296,120.33,22.689999999999998,25.4
297,120.36,22.689999999999998,25.4
298,120.39,22.689999999999998,25.1
299,120.42,22.689999999999998,24.7
300,120.45,22.689999999999998,25.2
301,120.48,22.689999999999998,25.3
302,120.51,22.689999999999998,25.3
303,120.54,22.689999999999998,25.4
304,120.57,22.689999999999998,25.3
305,120.6,22.689999999999998,25.3
306,120.63,22.689999999999998,25.3
307,120.66,22.689999999999998,22.4
308,120.69,22.689999999999998,25.2
309,120.72,22.689999999999998,24.5
310,120.75,22.689999999999998,20.4
311,120.78,22.689999999999998,13.8
312,120.81,22.689999999999998,12.7
313,120.84,22.689999999999998,15.5
314,120.87,22.689999999999998,15.2
315,120.9,22.689999999999998,19.0
316,120.93,22.689999999999998,20.3
317,120.96,22.689999999999998,23.1
318,120.99,22.689999999999998,23.9
319,121.02,22.689999999999998,26.9
320,121.05,22.689999999999998,27.1
321,120.27,22.72,25.3
322,120.3,22.72,25.3
323,120.33,22.72,25.4
324,120.36,22.72,25.3
325,120.39,22.72,25.0
326,120.42,22.72,24.9
327,120.45,22.72,25.2
328,120.48,22.72,25.2
329,120.51,22.72,25.2
330,120.54,22.72,25.2
331,120.57,22.72,25.2
332,120.6,22.72,25.1
333,120.63,22.72,24.1
334,120.66,22.72,24.1
335,120.69,22.72,24.7
336,120.72,22.72,19.9
337,120.75,22.72,15.1
338,120.78,22.72,17.4
339,120.81,22.72,18.6
340,120.84,22.72,13.6
341,120.87,22.72,11.6
342,120.9,22.72,11.6
343,120.93,22.72,20.1
344,120.96,22.72,22.9
345,120.99,22.72,23.6
346,121.02,22.72,24.4
347,121.05,22.72,26.7
348,121.08,22.72,26.5
349,121.11,22.72,26.6
350,120.27,22.75,25.2
351,120.3,22.75,25.3
352,120.33,22.75,25.2
353,120.36,22.75,25.2
354,120.39,22.75,25.1
355,120.42,22.75,24.2
356,120.45,22.75,25.1
357,120.48,22.75,24.7
358,120.51,22.75,25.2
359,120.54,22.75,25.2
360,120.57,22.75,25.2
361,120.6,22.75,25.2
362,120.63,22.75,25.2
363,120.66,22.75,23.6
364,120.69,22.75,24.3
365,120.72,22.75,24.3
366,120.75,22.75,23.8
367,120.78,22.75,22.7
368,120.81,22.75,20.4
369,120.84,22.75,18.1
370,120.87,22.75,13.9
371,120.9,22.75,9.5
372,120.93,22.75,16.4
373,120.96,22.75,21.0
374,120.99,22.75,23.2
375,121.02,22.75,24.7
376,121.05,22.75,26.3
377,121.08,22.75,26.5
378,121.11,22.75,26.5
379,121.14,22.75,25.6
380,120.24,22.779999999999998,24.8
381,120.27,22.779999999999998,25.2
382,120.3,22.779999999999998,25.3
383,120.33,22.779999999999998,25.2
384,120.36,22.779999999999998,25.2
385,120.39,22.779999999999998,24.9
386,120.42,22.779999999999998,24.7
387,120.45,22.779999999999998,24.9
388,120.48,22.779999999999998,24.6
389,120.51,22.779999999999998,25.2
390,120.54,22.779999999999998,25.2
391,120.57,22.779999999999998,25.3
392,120.6,22.779999999999998,25.2
393,120.63,22.779999999999998,25.3
394,120.66,22.779999999999998,20.7
395,120.69,22.779999999999998,21.9
396,120.72,22.779999999999998,18.8
397,120.75,22.779999999999998,17.4
398,120.78,22.779999999999998,13.3
399,120.81,22.779999999999998,19.8
400,120.84,22.779999999999998,17.1
401,120.87,22.779999999999998,14.8
402,120.9,22.779999999999998,6.9
