,Longitude,Latitude,Label
671,120.03,22.18,0
672,120.06,22.18,0
673,120.09,22.18,0
674,120.12,22.18,0
675,120.15,22.18,0
676,120.18,22.18,0
677,120.21,22.18,0
678,120.24,22.18,0
679,120.27,22.18,0
680,120.3,22.18,0
681,120.33,22.18,0
682,120.36,22.18,0
683,120.39,22.18,0
684,120.42,22.18,0
685,120.45,22.18,0
686,120.48,22.18,0
687,120.51,22.18,0
688,120.54,22.18,0
689,120.57,22.18,0
690,120.6,22.18,0
691,120.63,22.18,0
692,120.66,22.18,0
693,120.69,22.18,0
694,120.72,22.18,1
695,120.75,22.18,1
696,120.78,22.18,1
697,120.81,22.18,1
698,120.84,22.18,1
699,120.87,22.18,1
700,120.9,22.18,0
701,120.93,22.18,0
702,120.96,22.18,0
703,120.99,22.18,0
704,121.02,22.18,0
705,121.05,22.18,0
706,121.08,22.18,0
707,121.11,22.18,0
708,121.14,22.18,0
709,121.17,22.18,0
710,121.2,22.18,0
711,121.23,22.18,0
712,121.26,22.18,0
713,121.29,22.18,0
714,121.32,22.18,0
715,121.35,22.18,0
716,121.38,22.18,0
717,121.41,22.18,0
718,121.44,22.18,0
719,121.47,22.18,0
720,121.5,22.18,0
721,121.53,22.18,0
722,121.56,22.18,0
723,121.59,22.18,0
724,121.62,22.18,0
725,121.65,22.18,0
726,121.68,22.18,0
727,121.71,22.18,0
728,121.74,22.18,0
729,121.77,22.18,0
730,121.8,22.18,0
731,121.83,22.18,0
732,121.86,22.18,0
733,121.89,22.18,0
734,121.92,22.18,0
735,121.95,22.18,0
736,121.98,22.18,0
737,120.0,22.209999999999997,0
738,120.03,22.209999999999997,0
739,120.06,22.209999999999997,0
740,120.09,22.209999999999997,0
741,120.12,22.209999999999997,0
742,120.15,22.209999999999997,0
743,120.18,22.209999999999997,0
744,120.21,22.209999999999997,0
745,120.24,22.209999999999997,0
746,120.27,22.209999999999997,0
747,120.3,22.209999999999997,0
748,120.33,22.209999999999997,0
749,120.36,22.209999999999997,0
750,120.39,22.209999999999997,0
751,120.42,22.209999999999997,0
752,120.45,22.209999999999997,0
753,120.48,22.209999999999997,0
754,120.51,22.209999999999997,0
755,120.54,22.209999999999997,0
